pair,mode,asset_class,markets,med_sharpe,share_pos,med_cagr,med_dd,med_calmar,med_bh_sharpe,beat_bh
120/398,long,etf,4,0.852,1.0,0.07,-0.211,0.616,0.886,0.5
120/398,long,fut_commodity,10,0.106,0.8,-0.005,-0.735,-0.007,0.228,0.5
120/398,long,fut_equity,10,0.231,0.9,0.018,-0.48,0.035,0.408,0.0
120/398,long,fut_rates,7,0.428,1.0,0.041,-0.129,0.163,0.469,0.429
120/398,long,fx_futures,16,0.007,0.5,-0.004,-0.335,-0.017,0.018,0.438
120/398,long,index,4,0.772,1.0,0.105,-0.217,0.542,0.81,0.25
120/398,long,index_pkg,2,0.418,1.0,0.05,-0.337,0.158,0.25,1.0
120/398,long,stock,26,0.688,1.0,0.108,-0.282,0.403,0.744,0.269
120/398,ls,crypto,3,0.616,0.667,0.209,-0.776,0.322,0.559,0.333
120/398,ls,etf,4,0.802,0.75,0.07,-0.211,0.506,0.886,0.5
120/398,ls,fut_commodity,10,0.081,0.6,-0.002,-0.801,-0.002,0.228,0.4
120/398,ls,fut_equity,10,0.001,0.5,-0.028,-0.667,-0.041,0.408,0.0
120/398,ls,fut_rates,7,0.325,1.0,0.031,-0.129,0.073,0.469,0.429
120/398,ls,fx_futures,16,0.008,0.5,-0.008,-0.439,-0.025,0.018,0.438
120/398,ls,index,4,0.725,1.0,0.098,-0.219,0.489,0.81,0.25
120/398,ls,index_pkg,2,0.304,1.0,0.042,-0.506,0.083,0.25,1.0
120/398,ls,stock,26,0.546,0.885,0.094,-0.398,0.248,0.744,0.192
