history,asset,bars,disagree_bars,scored_bars,disagree_pct,max_ema_gap_bp,sharpe_study,sharpe_mt4,sharpe_gap,flips_study,flips_mt4,cagr_study,cagr_mt4
3x slow (396 bars),fut_commodity/CRUDE_W,396,0,132,0.0,7.0455,0.1323,0.1323,0.0,1,1,0.0027,0.0027
3x slow (396 bars),fut_commodity/GAS_US,396,0,132,0.0,18.1748,,,,0,0,0.0,0.0
3x slow (396 bars),fut_commodity/GOLD,396,1,132,0.7576,4.8596,1.8592,1.9767,0.1176,1,1,0.2158,0.2321
3x slow (396 bars),fut_commodity/SILVER,396,4,132,3.0303,5.1304,-2.875,-2.6452,0.2298,7,7,-0.2562,-0.2277
3x slow (396 bars),fut_commodity/SOYBEAN,396,0,132,0.0,1.7958,-0.9782,-0.9782,0.0,2,2,-0.0917,-0.0917
3x slow (396 bars),fut_commodity/WHEAT,396,0,132,0.0,6.6702,,,,0,0,0.0,0.0
3x slow (396 bars),fut_equity/BOVESPA,396,3,132,2.2727,0.1873,-0.4763,-0.3135,0.1628,3,3,-0.0589,-0.0406
3x slow (396 bars),fut_equity/CAC,396,5,132,3.7879,16.8691,0.6615,0.1852,-0.4764,3,3,0.0506,0.0122
3x slow (396 bars),fut_equity/DAX,396,4,132,3.0303,20.5007,1.5669,1.7754,0.2085,3,3,0.1179,0.1402
3x slow (396 bars),fut_equity/EUROSTX200-LARGE,396,5,132,3.7879,16.4867,1.8783,1.1471,-0.7312,3,3,0.1464,0.0915
3x slow (396 bars),fut_equity/FTSE100,396,9,132,6.8182,4.0073,-0.0287,-0.5897,-0.5609,3,5,-0.0027,-0.035
3x slow (396 bars),fut_equity/HANG,396,0,132,0.0,13.1777,,,,0,0,0.0,0.0
3x slow (396 bars),fut_equity/IBEX,396,0,132,0.0,14.4267,2.3789,2.3789,0.0,1,1,0.327,0.327
3x slow (396 bars),fut_equity/KOSPI,396,4,132,3.0303,12.6592,1.3844,1.4543,0.0699,3,3,0.1953,0.2078
3x slow (396 bars),fut_equity/NIKKEI,396,0,132,0.0,8.5542,3.6957,3.6957,0.0,1,1,0.8409,0.8409
3x slow (396 bars),fut_equity/TOPIX,396,0,132,0.0,6.9899,4.0053,4.0053,0.0,1,1,0.7362,0.7362
3x slow (396 bars),fut_rates/BOBL,396,0,132,0.0,2.2338,-0.7673,-0.7673,0.0,1,1,-0.0213,-0.0213
3x slow (396 bars),fut_rates/BUND,396,0,132,0.0,5.5171,-1.2432,-1.2432,0.0,1,1,-0.0596,-0.0596
3x slow (396 bars),fut_rates/GILT,396,1,132,0.7576,15.4612,-0.154,-0.1173,0.0366,1,1,-0.0117,-0.0094
3x slow (396 bars),fut_rates/JGB,396,3,132,2.2727,1.2624,-0.4137,0.3234,0.7371,1,1,-0.0091,0.0075
3x slow (396 bars),fut_rates/OAT,396,0,132,0.0,7.574,-0.4913,-0.4913,0.0,1,1,-0.0233,-0.0233
3x slow (396 bars),fut_rates/US10,396,1,132,0.7576,0.693,-2.6423,-2.1891,0.4532,2,2,-0.0638,-0.0549
3x slow (396 bars),fut_rates/US20,396,1,132,0.7576,0.6858,-2.836,-2.5219,0.3141,2,2,-0.1071,-0.0975
3x slow (396 bars),fx_futures/AUD,396,2,132,1.5152,9.793,-3.1157,-3.2784,-0.1627,2,2,-0.1091,-0.1267
3x slow (396 bars),fx_futures/CAD,396,2,132,1.5152,4.7803,-1.3232,-1.5837,-0.2606,2,2,-0.0385,-0.0462
